坊,*Onyomi: ボウ、ボッ -> Readings: 2
坑,*Onyomi: コウ -> Readings: 1
域,*Onyomi: イキ -> Readings: 1
堂,*Onyomi: ドウ -> Readings: 1
堕,*Onyomi: ダ -> Readings: 1
塀,*Onyomi: ヘイ -> Readings: 1
塁,*Onyomi: ルイ -> Readings: 1
塑,*Onyomi: ソ -> Readings: 1
塔,*Onyomi: トウ -> Readings: 1
塾,*Onyomi: ジュク -> Readings: 1
墜,*Onyomi: ツイ -> Readings: 1
墳,*Onyomi: フン -> Readings: 1
墾,*Onyomi: コン -> Readings: 1
壇,*Onyomi: ダン、タン -> Readings: 2
壌,*Onyomi: ジョウ -> Readings: 1
士,*Onyomi: シ -> Readings: 1
壮,*Onyomi: ソウ -> Readings: 1
壱,*Onyomi: イチ -> Readings: 1
央,*Onyomi: オウ -> Readings: 1
奇,*Onyomi: キ -> Readings: 1
奈,*Onyomi: ナ -> Readings: 1
奔,*Onyomi: ホン -> Readings: 1
奨,*Onyomi: ショウ -> Readings: 1
奴,*Onyomi: ド -> Readings: 1
如,*Onyomi: ジョ、ニョ -> Readings: 2
妃,*Onyomi: ヒ -> Readings: 1
妄,*Onyomi: モウ、ボウ -> Readings: 2
妊,*Onyomi: ニン -> Readings: 1
妙,*Onyomi: ミョウ -> Readings: 1
妥,*Onyomi: ダ -> Readings: 1
姓,*Onyomi: セイ、ショウ -> Readings: 2
姻,*Onyomi: イン -> Readings: 1
威,*Onyomi: イ -> Readings: 1
娠,*Onyomi: シン -> Readings: 1
娯,*Onyomi: ゴ -> Readings: 1
婆,*Onyomi: バ -> Readings: 1
婚,*Onyomi: コン -> Readings: 1
婦,*Onyomi: フ -> Readings: 1
媒,*Onyomi: バイ -> Readings: 1
媛,*Onyomi: エン -> Readings: 1
嫡,*Onyomi: チャク -> Readings: 1
嬢,*Onyomi: ジョウ -> Readings: 1
孔,*Onyomi: コウ -> Readings: 1
存,*Onyomi: ソン、ゾン -> Readings: 2
孝,*Onyomi: コウ -> Readings: 1
季,*Onyomi: キ -> Readings: 1
孤,*Onyomi: コ -> Readings: 1
宅,*Onyomi: タク -> Readings: 1
宇,*Onyomi: ウ -> Readings: 1
完,*Onyomi: カン -> Readings: 1
宗,*Onyomi: シュウ、ソウ -> Readings: 2
官,*Onyomi: カン -> Readings: 1
宙,*Onyomi: チュウ -> Readings: 1
宜,*Onyomi: ギ -> Readings: 1
客,*Onyomi: キャク、カク -> Readings: 2
宣,*Onyomi: セン -> Readings: 1
宰,*Onyomi: サイ -> Readings: 1
害,*Onyomi: ガイ -> Readings: 1
宴,*Onyomi: エン -> Readings: 1
容,*Onyomi: ヨウ -> Readings: 1
密,*Onyomi: ミツ -> Readings: 1
寛,*Onyomi: カン -> Readings: 1
察,*Onyomi: サツ -> Readings: 1
寡,*Onyomi: カ -> Readings: 1
寧,*Onyomi: ネイ -> Readings: 1
審,*Onyomi: シン -> Readings: 1
寮,*Onyomi: リョウ -> Readings: 1
寸,*Onyomi: スン -> Readings: 1
対,*Onyomi: タイ、ツイ -> Readings: 2
封,*Onyomi: フウ、ホウ -> Readings: 2
将,*Onyomi: ショウ -> Readings: 1
尉,*Onyomi: イ -> Readings: 1
尚,*Onyomi: ショウ -> Readings: 1
尺,*Onyomi: シャク -> Readings: 1
尿,*Onyomi: ニョウ -> Readings: 1
局,*Onyomi: キョク -> Readings: 1
屈,*Onyomi: クツ -> Readings: 1
展,*Onyomi: テン -> Readings: 1
属,*Onyomi: ゾク -> Readings: 1
層,*Onyomi: ソウ -> Readings: 1
屯,*Onyomi: トン -> Readings: 1
岐,*Onyomi: キ -> Readings: 1
峡,*Onyomi: キョウ -> Readings: 1
崇,*Onyomi: スウ -> Readings: 1
工,*Onyomi: コウ、ク -> Readings: 2
巨,*Onyomi: キョ -> Readings: 1
希,*Onyomi: キ -> Readings: 1
帝,*Onyomi: テイ -> Readings: 1
帥,*Onyomi: スイ -> Readings: 1
師,*Onyomi: シ -> Readings: 1
席,*Onyomi: セキ -> Readings: 1
帳,*Onyomi: チョウ -> Readings: 1
帽,*Onyomi: ボウ -> Readings: 1
幕,*Onyomi: マク、バク -> Readings: 2
幣,*Onyomi: ヘイ -> Readings: 1
幽,*Onyomi: ユウ -> Readings: 1
庁,*Onyomi: チョウ -> Readings: 1
序,*Onyomi: ジョ -> Readings: 1
府,*Onyomi: フ -> Readings: 1
庫,*Onyomi: コ、ク -> Readings: 2
庶,*Onyomi: ショ -> Readings: 1
康,*Onyomi: コウ -> Readings: 1
庸,*Onyomi: ヨウ -> Readings: 1
廉,*Onyomi: レン -> Readings: 1
廊,*Onyomi: ロウ -> Readings: 1
廷,*Onyomi: テイ -> Readings: 1
弊,*Onyomi: ヘイ -> Readings: 1
式,*Onyomi: シキ -> Readings: 1
弐,*Onyomi: ニ -> Readings: 1
弧,*Onyomi: コ -> Readings: 1
彰,*Onyomi: ショウ -> Readings: 1
役,*Onyomi: ヤク、エキ -> Readings: 2
往,*Onyomi: オウ -> Readings: 1
征,*Onyomi: セイ -> Readings: 1
径,*Onyomi: ケイ -> Readings: 1
律,*Onyomi: リツ、リチ -> Readings: 2
徐,*Onyomi: ジョ -> Readings: 1
徒,*Onyomi: ト -> Readings: 1
復,*Onyomi: フク -> Readings: 1
循,*Onyomi: ジュン -> Readings: 1
微,*Onyomi: ビ -> Readings: 1
徳,*Onyomi: トク -> Readings: 1
徴,*Onyomi: チョウ -> Readings: 1
徹,*Onyomi: テツ -> Readings: 1
忠,*Onyomi: チュウ -> Readings: 1
念,*Onyomi: ネン -> Readings: 1
性,*Onyomi: セイ、ショウ -> Readings: 2
怨,*Onyomi: エン、オン -> Readings: 2
恒,*Onyomi: コウ -> Readings: 1
恩,*Onyomi: オン -> Readings: 1
悠,*Onyomi: ユウ -> Readings: 1
悦,*Onyomi: エツ -> Readings: 1
惰,*Onyomi: ダ -> Readings: 1
想,*Onyomi: ソウ、ソ -> Readings: 2
愉,*Onyomi: ユ -> Readings: 1
意,*Onyomi: イ -> Readings: 1
愛,*Onyomi: アイ -> Readings: 1
感,*Onyomi: カン -> Readings: 1
態,*Onyomi: タイ -> Readings: 1
慢,*Onyomi: マン -> Readings: 1
慨,*Onyomi: ガイ -> Readings: 1
慮,*Onyomi: リョ -> Readings: 1
慶,*Onyomi: ケイ -> Readings: 1
憲,*Onyomi: ケン -> Readings: 1
憶,*Onyomi: オク -> Readings: 1
憾,*Onyomi: カン -> Readings: 1
才,*Onyomi: サイ -> Readings: 1
扶,*Onyomi: フ -> Readings: 1
批,*Onyomi: ヒ -> Readings: 1
抄,*Onyomi: ショウ -> Readings: 1
把,*Onyomi: ハ -> Readings: 1
抗,*Onyomi: コウ -> Readings: 1
択,*Onyomi: タク -> Readings: 1
披,*Onyomi: ヒ -> Readings: 1
抵,*Onyomi: テイ -> Readings: 1
抹,*Onyomi: マツ -> Readings: 1
抽,*Onyomi: チュウ -> Readings: 1
拍,*Onyomi: ハク、ヒョウ -> Readings: 2
拐,*Onyomi: カイ -> Readings: 1
拓,*Onyomi: タク -> Readings: 1
拘,*Onyomi: コウ -> Readings: 1
拠,*Onyomi: キョ、コ -> Readings: 2
拡,*Onyomi: カク -> Readings: 1
括,*Onyomi: カツ -> Readings: 1
拷,*Onyomi: ゴウ -> Readings: 1
掌,*Onyomi: ショウ -> Readings: 1
排,*Onyomi: ハイ -> Readings: 1
措,*Onyomi: ソ -> Readings: 1
揮,*Onyomi: キ -> Readings: 1
援,*Onyomi: エン -> Readings: 1
搬,*Onyomi: ハン -> Readings: 1
搭,*Onyomi: トウ -> Readings: 1
