みじ,惨
みずか,自
みだ,乱
みちび,導
みっ,三
みつ,貢
みと,認
みにく,醜
みの,実
み,三満見診
むか,迎
むく,報
むす,結
むずか,難
むっ,六
む,六向群蒸
めぐ,巡恵
めずら,珍
め,召
もう,申設
もぐ,潜
もち,用
もっと,最
もっぱ,専
もと,求
もど,戻
もよお,催
も,守持漏燃盛若
やさ,優易
やしな,養
やす,休安
やっ,八
やと,雇
やど,宿
やぶ,敗破
やわ,和柔軟
や,八焼病辞
ゆず,譲
ゆた,豊
ゆだ,委
ゆる,緩許
ゆ,揺結行逝
よご,汚
よそお,装
よっ,四
よろこ,喜
よわ,弱
よ,呼善四因寄良詠読酔
わか,別若
わざわ,災
わす,忘
わずら,患煩
わた,渡
わら,笑
わる,悪
わ,分割沸吾我
ao,仰青
aka,明赤
akina,商
aki,明
asa,浅
azamu,欺
aza,鮮
aji,味
azu,預
ase,焦
aso,遊
atata,暖温
atara,新
ata,与辺
atsuka,扱
atsu,厚暑熱集
anado,侮
aba,暴
abu,危
ama,余甘
ayatsu,操
ayama,誤謝過
aya,危怪
ayu,歩
araso,争
arata,改
arau,現著表
ara,新洗粗荒
aru,歩
au,併哀慌淡
a,上会充合在宛当挙揚明有浴空編荒遭開飽
ika,怒
ikio,勢
ikidoo,憤
iko,憩
isaiyo,潔
isa,勇
isoga,忙
iso,急
itada,頂
ita,傷悼痛至致
ida,抱
ichijiru,著
itsuku,慈
itsuu,偽
itsu,五
itona,営
ido,挑
ino,祈
imashi,戒
iya,卑
irodo,彩
iu,祝
i,入射居忌生癒行要言逝鋳
ukaga,伺
uketamau,承
ugo,動
ushina,失
ushi,後
usu,薄
utaga,疑
uta,歌謡
utta,訴
utsuku,美
utsu,写映移
uto,疎
unaga,促
uba,奪
uyauya,恭
uyama,敬
urana,占
uraya,羨
ura,恨
uruo,潤
uruu,麗
uru,潤
ure,愁憂
u,受埋売得憂打撃植浮熟生産討請飢
ega,描
era,偉選
e,得獲笑
oo,仰多大覆
oka,侵冒犯
oga,拝
ogina,補
oku,後贈送遅
okota,怠
okona,行
oko,怒興
ogoso,厳
osana,幼
osa,修収抑治納
oshi,教
oso,恐教襲遅
oda,穏
ochii,陥
otoshii,陥
otozu,訪
otoro,衰
oto,劣
odoro,驚
odo,脅踊躍
ona,同
obiya,脅
obo,覚
omomu,赴
omo,思重
oyo,及泳
oro,卸愚
o,下帯惜折押推生終織置老落負起追降
kaeri,省顧
kae,帰返
kao,薫香
kaka,係抱掲関
kagaya,輝
kagi,限
kaku,隠
kage,陰
kako,囲
kasa,重
kaza,飾
kashiko,賢
kase,稼
kazo,数
katamu,傾
katayo,偏
katau,傍
kata,固堅硬語難
katsu,担
kanara,必
kana,奏悲
kama,構醸
kayo,通
kara,絡辛
karu,軽
karo,軽
kau,乾渇
kanga,考鑑
kanba,芳
ka,且交代借兼刈勝変懸掛描換書替枯架欠狩買貸賭飼駆
kiza,兆刻
kizu,築
kiso,競
kitana,汚
kita,来鍛
kibi,厳
kiyo,清
kira,嫌
kiu,極究窮
ki,切利効決消着聞聴
kusa,腐臭
kuzu,崩
kuda,下砕
kutsugae,覆
kuba,配
kumo,曇
kuya,悔
kura,暗比
kuru,狂苦
kuro,黒
kuuda,企
kuu,加詳
ku,悔暮朽来組繰酌食
kega,汚
kezu,削
kemu,煙
keu,険
ke,消
koi,恋
koumu,被
koo,凍
kokono,九
kokoroza,志
kokoroyo,快
kokoro,試
kogo,凍
kota,応答
kotou,断
kono,好
koba,拒
koma,困細
koro,殺転
kou,壊怖
ko,乞凝恋懲混濃焦肥請超越込
saiu,幸
saegi,遮
saka,栄盛逆
saga,捜探
sagu,探
sake,叫
sasa,支
sazu,授
saso,誘
sada,定
sato,悟諭
saba,裁
sabi,寂
samata,妨
samu,寒
sau,触障騒
sa,下冷刺割去咲差指挿提裂覚避
shiau,幸
shiita,虐
shige,茂
shizu,沈鎮静
shitaga,従
shitata,滴
shita,慕親
shino,忍
shiba,縛
shibu,渋
shibo,搾絞
shime,湿示
shira,調
shirizo,退
shiru,記
shiro,白
shi,占強敷染死知絞締閉
suku,少救
sugu,優
suko,健少
susu,勧薦進
suzu,涼
suta,廃
sude,既
sube,全滑
sumi,速
surudo,鋭
suu,座
su,住刷吸好捨据擦済澄統透過酸
seba,狭
sema,狭迫
se,攻競責
soko,損
sosonoka,唆
soso,注
soda,育
sona,供備背
so,初反染沿添
tai,平
tao,倒
taka,高
tagaya,耕
taga,互
takuu,蓄
taku,巧
tagu,類
tashi,確
tasu,助
tazusa,携
tazu,尋訪
tataka,戦闘
tata,畳
tadayo,漂
tada,但正直
tatto,尊貴
tatematsu,奉
tato,例
tano,楽頼
tamau,賜
tame,試
tamo,保
tayo,便頼
taumu,戯
ta,垂堪建断炊矯立絶耐裁足食
dama,黙
da,出抱
chii,小
chika,誓近
chiga,違
chigi,契
chiji,縮
chi,散
tsui,費
tsuka,仕使捕疲遣
tsukuro,繕
tsuku,作創造
tsuguna,償
tsutana,拙
tsuta,伝
tsuchika,培
tsutsushi,慎謹
tsutsu,包
tsutzu,続
tsuto,努務勤
tsudo,集
tsuno,募
tsumu,紡
tsume,冷
tsuyo,強
tsuranu,貫
tsura,連
tsu,付告就尽接摘次漬着積突継詰連釣
te,照
de,出
touto,尊貴
too,通遠
totsu,嫁
totono,整調
todokoo,滞
todo,届
tona,唱隣
tobo,乏
tomura,弔
tomona,伴
to,取問執富捕採撮止泊溶留研解説跳遂閉飛
nao,治直
naka,半
naga,永流眺長
nagusa,慰
nagu,殴
nage,嘆
nago,和
nasa,情
natsu,懐
nana,七斜
nama,怠
name,滑
naya,悩
nara,並倣習
na,亡慣成投泣無鳴
nio,臭
niga,苦
nigi,握
niku,憎
nigo,濁
nina,担
nibu,鈍
ni,似煮逃
nusu,盗
nu,塗抜縫脱
nega,願
neba,粘
nemu,眠
nengo,懇
ne,寝練
noga,逃
noko,残
nozo,望臨除
nobo,上昇登
no,乗伸延載述飲
hai,入
haka,図測計諮謀量
haguku,育
hage,励激
hako,運
hasa,挟
hashi,走
haji,初始
hazukashi,辱
hazu,外弾
hatara,働
hanaha,甚
hana,放話離
haba,阻
habu,省
haya,早速
hara,払
