a,あ,ア,亜
roku,ろく,ロク,六緑働陸録
eki,えき,エキ,駅役易液益疫
gyou,ぎょう,ギョウ,形行業仰凝暁
gu,ぐ,グ,工具求供愚虞
shuku,しゅく,シュク,宿祝縮叔淑粛
zoku,ぞく,ゾク,族続財属俗賊
ni,に,ニ,二児仁泥尼弐
nen,ねん,ネン,年然念燃縁粘
hatsu,はつ,ハツ,発鉢髪伐罰抜
bi,び,ビ,美鼻未備尾微
rai,らい,ライ,来礼瀬頼雷塁
u,う,ウ,右雨羽有宇優芋
on,おん,オン,音遠飲温恩隠穏
ga,が,ガ,夏画芽賀我雅餓
ketsu,けつ,ケツ,決血欠結潔穴傑
satsu,さつ,サツ,刷察札殺冊撮擦
jo,じょ,ジョ,女助序除叙徐如
da,だ,ダ,打達蛇堕妥惰駄
teki,てき,テキ,笛的敵適嫡摘滴
nin,にん,ニン,人任仁認刃妊忍
baku,ばく,バク,麦博暴幕漠爆縛
byou,びょう,ビョウ,病秒平猫描苗妙
bo,ぼ,ボ,母墓暮模募慕簿
mei,めい,メイ,名明鳴命迷盟銘
rin,りん,リン,林輪臨倫厘隣鈴
katsu,かつ,カツ,活割喝括渇滑褐轄
shitsu,しつ,シツ,室実失質執湿漆疾
zen,ぜん,ゼン,前全然銭善漸禅繕
taku,たく,タク,度宅卓択拓沢濯託
dan,だん,ダン,男談団断暖段壇弾
chin,ちん,チン,丁賃朕沈珍鎮陳亭
toku,とく,トク,読得特徳独匿督篤
nou,のう,ノウ,王農応能納脳悩濃
fun,ふん,フン,分粉奮噴墳憤紛雰
hen,へん,ヘン,返変辺編弁片偏遍
boku,ぼく,ボク,木目牧僕墨撲朴黙
mu,む,ム,無武務夢畝謀矛霧
yaku,やく,ヤク,役薬約益訳疫厄躍
yu,ゆ,ユ,油由遊輸愉癒諭猶
ri,り,リ,理里利裏吏履痢離
ryuu,りゅう,リュウ,立流留柳硫粒隆竜
gai,がい,ガイ,外害街劾慨概涯該刈
gan,がん,ガン,丸岩顔元岸願眼含頑
dai,だい,ダイ,大台弟内代第題提袋
haku,はく,ハク,白博覇伯拍泊舶薄迫
ban,ばん,バン,番万板満判晩伴盤蛮
fuku,ふく,フク,服福副復複腹伏幅覆
ho,ほ,ホ,歩反保補浦畝怖舗捕
e,え,エ,画会回絵衣衛依壊懐恵
