'時','1','1','both'
'暁','1','1','both'
'暇','1','1','both'
'暑','1','1','both'
'暗','1','1','both'
'暦','1','1','both'
'曇','1','1','both'
'書','1','1','both'
'最','1','1','both'
'朗','1','1','both'
'朝','1','1','both'
'本','1','1','both'
'札','1','1','both'
'机','1','1','both'
'朽','1','1','both'
'村','1','1','both'
'束','1','1','both'
'杯','1','1','both'
'東','1','1','both'
'松','1','1','both'
'林','1','1','both'
'枝','1','1','both'
'柱','1','1','both'
'柳','1','1','both'
'根','1','1','both'
'桃','1','1','both'
'桑','1','1','both'
'桜','1','1','both'
'梅','1','1','both'
'森','1','1','both'
'様','1','1','both'
'横','1','1','both'
'橋','1','1','both'
'機','1','1','both'
'欺','1','1','both'
'歯','1','1','both'
'死','1','1','both'
'殊','1','1','both'
'殴','1','1','both'
'殻','1','1','both'
'母','1','1','both'
'比','1','1','both'
'毛','1','1','both'
'氏','1','1','both'
'民','1','1','both'
'水','1','1','both'
'永','1','1','both'
'汁','1','1','both'
'求','1','1','both'
'汗','1','1','both'
'江','1','1','both'
'池','1','1','both'
'沖','1','1','both'
'沢','1','1','both'
'河','1','1','both'
'油','1','1','both'
'沼','1','1','both'
'沿','1','1','both'
'泉','1','1','both'
'泡','1','1','both'
'波','1','1','both'
'泣','1','1','both'
'泥','1','1','both'
'注','1','1','both'
'泳','1','1','both'
'洗','1','1','both'
'洞','1','1','both'
'津','1','1','both'
'浅','1','1','both'
'浜','1','1','both'
'海','1','1','both'
'涙','1','1','both'
'淡','1','1','both'
'渇','1','1','both'
'渦','1','1','both'
'測','1','1','both'
'港','1','1','both'
'湖','1','1','both'
'湯','1','1','both'
'源','1','1','both'
'溝','1','1','both'
'滞','1','1','both'
'漂','1','1','both'
'漆','1','1','both'
'潔','1','1','both'
'潮','1','1','both'
'激','1','1','both'
'濃','1','1','both'
'灯','1','1','both'
'灰','1','1','both'
'災','1','1','both'
'炊','1','1','both'
'炎','1','1','both'
'炭','1','1','both'
'熟','1','1','both'
'熱','1','1','both'
'父','1','1','both'
'片','1','1','both'
'牛','1','1','both'
'牧','1','1','both'
