崇,Onyomi*スウ*1
工,Onyomi*コウ、ク*2
巨,Onyomi*キョ*1
希,Onyomi*キ*1
帝,Onyomi*テイ*1
帥,Onyomi*スイ*1
師,Onyomi*シ*1
席,Onyomi*セキ*1
帳,Onyomi*チョウ*1
帽,Onyomi*ボウ*1
幕,Onyomi*マク、バク*2
幣,Onyomi*ヘイ*1
幽,Onyomi*ユウ*1
庁,Onyomi*チョウ*1
序,Onyomi*ジョ*1
府,Onyomi*フ*1
庫,Onyomi*コ、ク*2
庶,Onyomi*ショ*1
康,Onyomi*コウ*1
庸,Onyomi*ヨウ*1
廉,Onyomi*レン*1
廊,Onyomi*ロウ*1
廷,Onyomi*テイ*1
弊,Onyomi*ヘイ*1
式,Onyomi*シキ*1
弐,Onyomi*ニ*1
弧,Onyomi*コ*1
彰,Onyomi*ショウ*1
役,Onyomi*ヤク、エキ*2
往,Onyomi*オウ*1
征,Onyomi*セイ*1
径,Onyomi*ケイ*1
律,Onyomi*リツ、リチ*2
徐,Onyomi*ジョ*1
徒,Onyomi*ト*1
復,Onyomi*フク*1
循,Onyomi*ジュン*1
微,Onyomi*ビ*1
徳,Onyomi*トク*1
徴,Onyomi*チョウ*1
徹,Onyomi*テツ*1
忠,Onyomi*チュウ*1
念,Onyomi*ネン*1
性,Onyomi*セイ、ショウ*2
怨,Onyomi*エン、オン*2
恒,Onyomi*コウ*1
恩,Onyomi*オン*1
悠,Onyomi*ユウ*1
悦,Onyomi*エツ*1
惰,Onyomi*ダ*1
想,Onyomi*ソウ、ソ*2
愉,Onyomi*ユ*1
意,Onyomi*イ*1
愛,Onyomi*アイ*1
感,Onyomi*カン*1
態,Onyomi*タイ*1
慢,Onyomi*マン*1
慨,Onyomi*ガイ*1
慮,Onyomi*リョ*1
慶,Onyomi*ケイ*1
憲,Onyomi*ケン*1
憶,Onyomi*オク*1
憾,Onyomi*カン*1
才,Onyomi*サイ*1
扶,Onyomi*フ*1
批,Onyomi*ヒ*1
抄,Onyomi*ショウ*1
把,Onyomi*ハ*1
抗,Onyomi*コウ*1
択,Onyomi*タク*1
披,Onyomi*ヒ*1
抵,Onyomi*テイ*1
抹,Onyomi*マツ*1
抽,Onyomi*チュウ*1
拍,Onyomi*ハク、ヒョウ*2
拐,Onyomi*カイ*1
拓,Onyomi*タク*1
拘,Onyomi*コウ*1
拠,Onyomi*キョ、コ*2
拡,Onyomi*カク*1
括,Onyomi*カツ*1
拷,Onyomi*ゴウ*1
掌,Onyomi*ショウ*1
排,Onyomi*ハイ*1
措,Onyomi*ソ*1
揮,Onyomi*キ*1
援,Onyomi*エン*1
搬,Onyomi*ハン*1
搭,Onyomi*トウ*1
摂,Onyomi*セツ*1
摩,Onyomi*マ*1
撤,Onyomi*テツ*1
撲,Onyomi*ボク*1
擁,Onyomi*ヨウ*1
擬,Onyomi*ギ*1
敏,Onyomi*ビン*1
敢,Onyomi*カン*1
斉,Onyomi*セイ*1
斎,Onyomi*サイ*1
斗,Onyomi*ト*1
料,Onyomi*リョウ*1
斤,Onyomi*キン*1
斥,Onyomi*セキ*1
旋,Onyomi*セン*1
族,Onyomi*ゾク*1
旦,Onyomi*タン、ダン*2
旧,Onyomi*キュウ*1
旬,Onyomi*ジュン、シュン*2
昆,Onyomi*コン*1
昨,Onyomi*サク*1
昭,Onyomi*ショウ*1
是,Onyomi*ゼ*1
晩,Onyomi*バン*1
普,Onyomi*フ*1
景,Onyomi*ケイ*1
晶,Onyomi*ショウ*1
暫,Onyomi*ザン*1
曜,Onyomi*ヨウ*1
曹,Onyomi*ソウ*1
曽,Onyomi*ソウ、ゾ*2
服,Onyomi*フク*1
朕,Onyomi*チン*1
期,Onyomi*キ、ゴ*2
未,Onyomi*ミ*1
朱,Onyomi*シュ*1
朴,Onyomi*ボク*1
材,Onyomi*ザイ*1
条,Onyomi*ジョウ*1
析,Onyomi*セキ*1
枚,Onyomi*マイ*1
枢,Onyomi*スウ*1
某,Onyomi*ボウ*1
査,Onyomi*サ*1
栓,Onyomi*セン*1
校,Onyomi*コウ*1
核,Onyomi*カク*1
格,Onyomi*カク、コウ*2
栽,Onyomi*サイ*1
案,Onyomi*アン*1
桟,Onyomi*サン*1
械,Onyomi*カイ*1
棄,Onyomi*キ*1
棋,Onyomi*キ*1
棒,Onyomi*ボウ*1
棺,Onyomi*カン*1
検,Onyomi*ケン*1
楼,Onyomi*ロウ*1
概,Onyomi*ガイ*1
槽,Onyomi*ソウ*1
標,Onyomi*ヒョウ*1
模,Onyomi*モ、ボ*2
権,Onyomi*ケン、ゴン*2
樹,Onyomi*ジュ*1
欄,Onyomi*ラン*1
欧,Onyomi*オウ*1
款,Onyomi*カン*1
歓,Onyomi*カン*1
武,Onyomi*ブ、ム*2
歳,Onyomi*サイ、セイ*2
歴,Onyomi*レキ*1
殉,Onyomi*ジュン*1
段,Onyomi*ダン*1
毎,Onyomi*マイ*1
毒,Onyomi*ドク*1
気,Onyomi*キ、ケ*2
汽,Onyomi*キ*1
没,Onyomi*ボツ*1
況,Onyomi*キョウ*1
泌,Onyomi*ヒツ、ヒ*2
法,Onyomi*ホウ、ハッ、ほっ、ほっ*4
泰,Onyomi*タイ*1
洋,Onyomi*ヨウ*1
洪,Onyomi*コウ*1
活,Onyomi*カツ*1
派,Onyomi*ハ*1
浄,Onyomi*ジョウ*1
浪,Onyomi*ロウ*1
涯,Onyomi*ガイ*1
液,Onyomi*エキ*1
淑,Onyomi*シュク*1
渉,Onyomi*ショウ*1
渓,Onyomi*ケイ*1
湾,Onyomi*ワン*1
準,Onyomi*ジュン*1
滋,Onyomi*ジ*1
漁,Onyomi*ギョ、リョウ*2
演,Onyomi*エン*1
漠,Onyomi*バク*1
漢,Onyomi*カン*1
漫,Onyomi*マン*1
漸,Onyomi*ゼン*1
濫,Onyomi*ラン*1
濯,Onyomi*タク*1
炉,Onyomi*ロ*1
点,Onyomi*テン*1
為,Onyomi*イ*1
烈,Onyomi*レツ*1
然,Onyomi*ゼン、ネン*2
燥,Onyomi*ソウ*1
爆,Onyomi*バク*1
爵,Onyomi*シャク*1
版,Onyomi*ハン*1
牲,Onyomi*セイ*1
特,Onyomi*トク*1
犠,Onyomi*ギ*1
状,Onyomi*ジョウ*1
猛,Onyomi*モウ*1
猟,Onyomi*リョウ*1
献,Onyomi*ケン、コン*2
猶,Onyomi*ユウ*1
獄,Onyomi*ゴク*1
玄,Onyomi*ゲン*1
王,Onyomi*オウ*1
珠,Onyomi*シュ*1
班,Onyomi*ハン*1
理,Onyomi*リ*1
環,Onyomi*カン*1
瓶,Onyomi*ビン*1
甲,Onyomi*コウ、カン*2
画,Onyomi*ガ、カク*2
界,Onyomi*カイ*1
畔,Onyomi*ハン*1
畜,Onyomi*チク*1
略,Onyomi*リャク*1
番,Onyomi*バン*1
疫,Onyomi*エキ、ヤク*2
疾,Onyomi*シツ*1
症,Onyomi*ショウ*1
痘,Onyomi*トウ*1
痢,Onyomi*リ*1
痴,Onyomi*チ*1
療,Onyomi*リョウ*1
発,Onyomi*ハツ、ホツ*2
百,Onyomi*ヒャク*1
皇,Onyomi*コウ、オウ*2
盆,Onyomi*ボン*1
益,Onyomi*エキ、ヤク*2
盟,Onyomi*メイ*1
監,Onyomi*カン*1
盤,Onyomi*バン*1
盲,Onyomi*モウ*1
看,Onyomi*カン*1
県,Onyomi*ケン*1
睡,Onyomi*スイ*1
督,Onyomi*トク*1
睦,Onyomi*ボク*1
砲,Onyomi*ホウ*1
硝,Onyomi*ショウ*1
硫,Onyomi*リュウ*1
碁,Onyomi*ゴ*1
碑,Onyomi*ヒ*1
磁,Onyomi*ジ*1
礁,Onyomi*ショウ*1
礼,Onyomi*レイ、ライ*2
祉,Onyomi*シ*1
祖,Onyomi*ソ*1
祥,Onyomi*ショウ*1
票,Onyomi*ヒョウ*1
禁,Onyomi*キン*1
禅,Onyomi*ゼン*1
禍,Onyomi*カ*1
福,Onyomi*フク*1
科,Onyomi*カ*1
秒,Onyomi*ビョウ*1
租,Onyomi*ソ*1
秩,Onyomi*チツ*1
称,Onyomi*ショウ*1
税,Onyomi*ゼイ*1
稚,Onyomi*チ*1
稿,Onyomi*コウ*1
穀,Onyomi*コク*1
穫,Onyomi*カク*1
窃,Onyomi*セツ*1
窒,Onyomi*チツ*1
章,Onyomi*ショウ*1
符,Onyomi*フ*1
第,Onyomi*ダイ*1
策,Onyomi*サク*1
箇,Onyomi*カ*1
算,Onyomi*サン*1
範,Onyomi*ハン*1
篤,Onyomi*トク*1
簡,Onyomi*カン*1
簿,Onyomi*ボ*1
籍,Onyomi*セキ*1
粛,Onyomi*シュク*1
粧,Onyomi*ショウ*1
精,Onyomi*セイ、ショウ*2
糖,Onyomi*トウ*1
系,Onyomi*ケイ*1
糾,Onyomi*キュウ*1
紀,Onyomi*キ*1
約,Onyomi*ヤク*1
紋,Onyomi*モン*1
純,Onyomi*ジュン*1
級,Onyomi*キュウ*1
素,Onyomi*ソ、ス*2
索,Onyomi*サク*1
累,Onyomi*ルイ*1
紳,Onyomi*シン*1
紹,Onyomi*ショウ*1
紺,Onyomi*コン*1
給,Onyomi*キュウ*1
絵,Onyomi*カイ、エ*2
維,Onyomi*イ*1
緊,Onyomi*キン*1
総,Onyomi*ソウ*1
線,Onyomi*セン*1
緯,Onyomi*イ*1
績,Onyomi*セキ*1
繁,Onyomi*ハン*1
繊,Onyomi*セン*1
缶,Onyomi*カン*1
罰,Onyomi*バツ、バチ*2
署,Onyomi*ショ*1
罷,Onyomi*ヒ*1
羅,Onyomi*ラ*1
義,Onyomi*ギ*1
翁,Onyomi*オウ*1
翌,Onyomi*ヨク*1
耗,Onyomi*モウ、コウ*2
聖,Onyomi*セイ*1
職,Onyomi*ショク*1
肉,Onyomi*ニク*1
肖,Onyomi*ショウ*1
肢,Onyomi*シ*1
肪,Onyomi*ボウ*1
肯,Onyomi*コウ*1
肺,Onyomi*ハイ*1
胃,Onyomi*イ*1
胆,Onyomi*タン*1
胎,Onyomi*タイ*1
胞,Onyomi*ホウ*1
胴,Onyomi*ドウ*1
能,Onyomi*ノウ*1
脈,Onyomi*ミャク*1
脳,Onyomi*ノウ*1
腸,Onyomi*チョウ*1
膚,Onyomi*フ*1
膜,Onyomi*マク*1
臓,Onyomi*ゾウ*1
臣,Onyomi*シン、ジン*2
舎,Onyomi*シャ*1
舗,Onyomi*ホ*1
航,Onyomi*コウ*1
般,Onyomi*ハン*1
舶,Onyomi*ハク*1
艇,Onyomi*テイ*1
艦,Onyomi*カン*1
芸,Onyomi*ゲイ*1
英,Onyomi*エイ*1
茶,Onyomi*チャ、サ*2
荘,Onyomi*ソウ*1
菊,Onyomi*キク*1
菌,Onyomi*キン*1
菓,Onyomi*カ*1
藩,Onyomi*ハン*1
虚,Onyomi*キョ、コ*2
虜,Onyomi*リョ*1
蛮,Onyomi*バン*1
蜜,Onyomi*ミツ*1
融,Onyomi*ユウ*1
衆,Onyomi*シュウ、シュ*2
術,Onyomi*ジュツ*1
衛,Onyomi*エイ*1
衝,Onyomi*ショウ*1
衡,Onyomi*コウ*1
衷,Onyomi*チュウ*1
裕,Onyomi*ユウ*1
製,Onyomi*セイ*1
複,Onyomi*フク*1
褐,Onyomi*カツ*1
覇,Onyomi*ハ*1
規,Onyomi*キ*1
視,Onyomi*シ*1
覧,Onyomi*ラン*1
観,Onyomi*カン*1
訂,Onyomi*テイ*1
訓,Onyomi*クン*1
託,Onyomi*タク*1
訟,Onyomi*ショウ*1
証,Onyomi*ショウ*1
詐,Onyomi*サ*1
評,Onyomi*ヒョウ*1
詞,Onyomi*シ*1
詩,Onyomi*シ*1
該,Onyomi*ガイ*1
誌,Onyomi*シ*1
誕,Onyomi*タン*1
課,Onyomi*カ*1
談,Onyomi*ダン*1
論,Onyomi*ロン*1
諸,Onyomi*ショ*1
諾,Onyomi*ダク*1
謁,Onyomi*エツ*1
謄,Onyomi*トウ*1
謙,Onyomi*ケン*1
講,Onyomi*コウ*1
識,Onyomi*シキ*1
譜,Onyomi*フ*1
警,Onyomi*ケイ*1
議,Onyomi*ギ*1
護,Onyomi*ゴ*1
象,Onyomi*ショウ、ゾウ*2
豪,Onyomi*ゴウ*1
貞,Onyomi*テイ*1
財,Onyomi*ザイ、サイ*2
貨,Onyomi*カ*1
販,Onyomi*ハン*1
貯,Onyomi*チョ*1
貿,Onyomi*ボウ*1
賀,Onyomi*ガ*1
賃,Onyomi*チン*1
資,Onyomi*シ*1
賊,Onyomi*ゾク*1
賓,Onyomi*ヒン*1
賛,Onyomi*サン*1
賞,Onyomi*ショウ*1
賠,Onyomi*バイ*1
賦,Onyomi*フ*1
