タイ,代体大太対帯滞台胎怠袋貸退逮待態替泰耐隊
タク,択沢宅拓託濯卓
タツ,達
タン,単嘆壇端探淡炭丹担旦胆短誕鍛
ダ,堕妥惰打蛇駄
ダイ,弟第題代内台大
ダク,濁諾
ダツ,奪脱
ダン,団壇断段暖弾男談旦
チ,地池痴知値置致稚恥治遅
チク,畜蓄竹築逐
チツ,秩窒
チャ,茶
チャク,嫡着
チュウ,中忠仲沖虫柱注宙抽昼衷鋳駐
チョ,緒著貯
チョウ,丁庁町頂兆眺挑跳徴懲彫調朝潮重長帳張聴腸暢超鳥弔釣澄
チョク,勅直
チン,賃鎮朕陳沈珍
ツ,通都
ツイ,墜対追
ツウ,痛通
テイ,丁亭停底庭艇廷抵低邸呈程堤提帝締偵貞体定弟逓訂
テキ,摘敵滴適的笛
テツ,徹撤哲迭鉄
テン,店点添展殿転典天
デイ,泥
デン,伝殿田電
ト,土斗吐度渡図塗徒登賭途都
トウ,倒到党冬刀凍唐塔湯島当悼投搭東桃棟灯豆痘登盗稲等筒答糖統藤討謄踏逃透道闘陶頭騰
トク,匿得徳督篤特読
トツ,凸突
トン,団屯豚
ド,努怒奴土度
ドウ,働動瞳童同洞胴導道堂銅
ドク,毒独読
ドン,曇鈍
ナ,南奈
ナイ,内
ナッ,納
ナン,南男軟難
ニ,二仁児尼弐
ニク,肉
ニチ,日
ニャク,若
ニュウ,乳入柔
ニョ,女如
ニョウ,尿
ニン,任妊忍認人
ネイ,寧
ネツ,熱
ネン,年念粘然燃
ノウ,悩脳濃農納能
ハ,波派把破覇
ハイ,俳排敗肺廃拝杯背輩配
ヒャク,伯百
ハク,博薄拍泊白舶迫
ハチ,八鉢
ハッ,法
ハツ,発鉢髪
ハン,伴半反坂販阪飯板版判凡帆犯範搬煩班畔繁藩般頒
バ,婆馬
バイ,倍培賠陪売媒梅買
バク,博縛幕暴漠爆麦
バチ,罰
バツ,伐抜末罰閥
バン,万伴判晩板番盤蛮
ヒ,卑否妃彼悲非扉批比披泌疲皮被碑秘罷肥費避飛
ヒツ,必泌匹筆
ヒョウ,俵兵拍氷標漂票表評
ヒン,品浜貧賓頻
ビ,備尾微美鼻
ビャク,白
ビョウ,平病秒描猫苗
ビン,便敏瓶貧
フ,不付夫婦富布府怖扶敷普浮父符腐膚譜負賦赴附風
フウ,夫富封風
フク,副幅福復腹複覆伏服
フツ,払沸
フン,分粉紛噴墳憤奮雰
ブ,不侮無舞奉武歩部
ブツ,仏物
ブン,分文聞
ヘイ,丙柄病幣弊並併兵塀平閉陛
ヘキ,壁癖
ヘン,偏編遍辺返変片
ベイ,米
ベツ,別
ベン,便勉弁
ホ,捕舗補保歩
ホウ,包泡砲胞飽抱俸奉方芳訪倣放報宝封峰崩法縫褒豊邦
ホク,北
ホツ,発
ホン,反奔本翻
ボ,募墓慕暮模母簿
ボウ,亡妄忘忙望坊妨肪防傍貿帽冒暴乏剖房某棒紡膨謀
ボク,僕墨撲木朴牧目睦
ボッ,坊
ボツ,没
ボン,凡煩盆
マ,摩磨魔麻
マイ,末万米妹枚埋毎抹満幕膜慢漫
ミ,味未魅
