明
ほたる	蛍
ほっ	法
ほとけ	仏
ほど	程
ほね	骨
ほのお	炎
ほら	洞
ほり	堀
ま	目
ま	真
ま	間
ま	馬
まい	舞
まえ	前
まき	巻
まき	牧
まこと	誠
まご	孫
まさ	正
ます	升
また	又
まち	町
まち	街
まつ	松
まつりごと	政
まと	的
まど	窓
まなこ	眼
まぼろし	幻
まめ	豆
まゆ	繭
まる	丸
み	三
み	実
み	巳
み	身
みき	幹
みぎ	右
みことのり	詔
みさお	操
みさき	岬
みささぎ	陵
みず	水
みずうみ	湖
みせ	店
みぞ	溝
みち	道
みどり	緑
みな	皆
みなと	港
みなみ	南
みなもと	源
みね	峰
みみ	耳
みや	宮
みやこ	都
む	六
むい	六
むかし	昔
むぎ	麦
むこ	婿
むし	虫
むすめ	娘
むな	棟
むな	胸
むね	旨
むね	棟
むね	胸
むら	村
むら	群
むらさき	紫
むろ	室
め	女
め	目
め	芽
め	雌
めし	飯
めす	雌
も	喪
も	藻
もと	下
もと	元
もと	基
もと	本
もとい	基
もの	物
もの	者
もも	桃
もり	森
や	八
や	家
や	屋
や	矢
やかた	館
やしろ	社
やど	宿
やなぎ	柳
やま	山
やまい	病
ゆ	湯
ゆい	由
ゆう	夕
ゆえ	故
ゆか	床
ゆき	雪
ゆび	指
ゆみ	弓
ゆめ	夢
よ	世
よ	代
よ	四
よ	夜
よい	宵
よう	八
よこ	横
よし	由
よめ	嫁
よる	夜
よん	四
わ	我
わ	輪
わ  吾
わき	脇
わきまえる	弁
わく	枠
わけ	訳
わざ	技
わざ	業
わた	綿
わたくし	私
わたし	私
わらべ	童
わり	割
われ	我
